target_id,model_name
O43570,Carbonic anhydrase 12
O43603,Galanin receptor type 2
O43613,Orexin receptor type 1
O43614,Orexin receptor type 2
O43683,Mitotic checkpoint serine/threonine-protein kinase BUB1
O43781,Dual specificity tyrosine-phosphorylation-regulated kinase 3
O43826,Glucose-6-phosphate exchanger SLC37A4
O43868,Sodium/nucleoside cotransporter 2
O43924,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta"
O54898,Voltage-dependent T-type calcium channel subunit alpha-1G
O60218,Aldo-keto reductase family 1 member B10
O60240,Perilipin-1
O60285,NUAK family SNF1-like kinase 1
O60313,"Dynamin-like 120 kDa protein, mitochondrial"
O60331,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma
O60341,Lysine-specific histone demethylase 1A
O60391,"Glutamate receptor ionotropic, NMDA 3B"
O60551,Glycylpeptide N-tetradecanoyltransferase 2
O60563,Cyclin-T1
O60656,UDP-glucuronosyltransferase 1-9
O60658,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A"
O60674,Tyrosine-protein kinase JAK2
O60706,ATP-binding cassette sub-family C member 9
O60725,Protein-S-isoprenylcysteine O-methyltransferase
O60755,Galanin receptor type 3
O60760,Hematopoietic prostaglandin D synthase
O60840,Voltage-dependent L-type calcium channel subunit alpha-1F
O60841,Eukaryotic translation initiation factor 5B
O60885,Bromodomain-containing protein 4
O60911,Cathepsin L2
O60930,Ribonuclease H1
O61059,Glucose transporter
O61060,Glucose transporter
O64517,Metacaspase-4
O70212,5-hydroxytryptamine receptor 3A
O70344,Potassium voltage-gated channel subfamily KQT member 1
O70526,B2 bradykinin receptor
O70528,5-hydroxytryptamine receptor 4
O75030,Microphthalmia-associated transcription factor
O75116,Rho-associated protein kinase 2
O75151,Lysine-specific demethylase PHF2
O75164,Lysine-specific demethylase 4A
O75311,Glycine receptor subunit alpha-3
O75343,Guanylate cyclase soluble subunit beta-2
O75365,Protein tyrosine phosphatase type IVA 3
O75376,Nuclear receptor corepressor 1
O75385,Serine/threonine-protein kinase ULK1
O75460,Serine/threonine-protein kinase/endoribonuclease IRE1
O75469,Nuclear receptor subfamily 1 group I member 2
O75493,Carbonic anhydrase-related protein 11
O75530,Polycomb protein EED
O75582,Ribosomal protein S6 kinase alpha-5
O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase
O75676,Ribosomal protein S6 kinase alpha-4
O75716,Serine/threonine-protein kinase 16
O75747,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma
O75751,Solute carrier family 22 member 3
O75762,Transient receptor potential cation channel subfamily A member 1
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic
O75884,Serine hydrolase RBBP9
O75899,Gamma-aminobutyric acid type B receptor subunit 2
O75908,Sterol O-acyltransferase 2
O75914,Serine/threonine-protein kinase PAK 3
O75936,Gamma-butyrobetaine dioxygenase
O75956,Cyclin-dependent kinase 2-associated protein 2
O76039,Cyclin-dependent kinase-like 5
O76074,"cGMP-specific 3',5'-cyclic phosphodiesterase"
O76083,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A"
O76093,Fibroblast growth factor 18
O77239,Cdk-related protein kinase 6
O77621,Alpha-1A adrenergic receptor
O77823,Cyclic AMP-specific phosphodiesterase SSPDE4A1A
O88944,Potassium voltage-gated channel subfamily KQT member 3
O89049,"Thioredoxin reductase 1, cytoplasmic"
O89085,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
O89089,Voltage-dependent N-type calcium channel subunit alpha
O94759,Transient receptor potential cation channel subfamily M member 2
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"
O94768,Serine/threonine-protein kinase 17B
O94782,Ubiquitin carboxyl-terminal hydrolase 1
O94788,Retinal dehydrogenase 2
O94804,Serine/threonine-protein kinase 10
O94806,Serine/threonine-protein kinase D3
O94921,Cyclin-dependent kinase 14
O94925,"Glutaminase kidney isoform, mitochondrial"
O94953,Lysine-specific demethylase 4B
O94956,Solute carrier organic anion transporter family member 2B1
O95067,G2/mitotic-specific cyclin-B2
O95069,Potassium channel subfamily K member 2
O95136,Sphingosine 1-phosphate receptor 2
O95153,Peripheral-type benzodiazepine receptor-associated protein 1
O95180,Voltage-dependent T-type calcium channel subunit alpha-1H
O95259,Potassium voltage-gated channel subfamily H member 1
O95263,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B"
O95264,5-hydroxytryptamine receptor 3B
O95271,Poly [ADP-ribose] polymerase tankyrase-1
O95279,Potassium channel subfamily K member 5
O95342,Bile salt export pump
O95347,Structural maintenance of chromosomes protein 2
O95382,Mitogen-activated protein kinase kinase kinase 6
O95461,LARGE xylosyl- and glucuronyltransferase 1
O95551,Tyrosyl-DNA phosphodiesterase 2
O95665,Neurotensin receptor type 2
O95718,Steroid hormone receptor ERR2
O95747,Serine/threonine-protein kinase OSR1
O95819,Mitogen-activated protein kinase kinase kinase kinase 4
O95835,Serine/threonine-protein kinase LATS1
O95870,Phosphatidylserine lipase ABHD16A
O95977,Sphingosine 1-phosphate receptor 4
O96013,Serine/threonine-protein kinase PAK 4
O96017,Serine/threonine-protein kinase Chk2
O96020,G1/S-specific cyclin-E2
O96028,Histone-lysine N-methyltransferase NSD2
O96214,Protein kinase domain-containing protein
O96394,Arginase
O96760,Nicotinic acetylcholine receptor alpha subunit
O96935,M1 family aminopeptidase
O97467,Hexose transporter 1
P00156,Cytochrome b
P00176,Cytochrome P450 2B1
P00338,L-lactate dehydrogenase A chain
P00346,"Malate dehydrogenase, mitochondrial"
P00352,Retinal dehydrogenase 1
P00374,Dihydrofolate reductase
P00378,Dihydrofolate reductase
P00381,Dihydrofolate reductase
P00387,NADH-cytochrome b5 reductase 3
P00390,"Glutathione reductase, mitochondrial"
P00395,Cytochrome c oxidase subunit 1
P00403,Cytochrome c oxidase subunit 2
P00439,Phenylalanine-4-hydroxylase
P00441,Superoxide dismutase [Cu-Zn]
P00488,Coagulation factor XIII A chain
P00491,Purine nucleoside phosphorylase
P00519,Tyrosine-protein kinase ABL1
P00530,Tyrosine-protein kinase transforming protein Fps
P00533,Epidermal growth factor receptor
P00591,Pancreatic triacylglycerol lipase
P00599,Basic phospholipase A2 1
P00697,Lysozyme C-1
P00734,Prothrombin
P00740,Coagulation factor IX
P00742,Coagulation factor X
P00747,Plasminogen
P00748,Coagulation factor XII
P00749,Urokinase-type plasminogen activator
P00750,Tissue-type plasminogen activator
P00761,Trypsin
P00766,Chymotrypsinogen A
P00784,Papain
P00791,Pepsin A
P00797,Renin
P00800,Thermolysin
P00813,Adenosine deaminase
P00915,Carbonic anhydrase 1
P00918,Carbonic anhydrase 2
P01031,Complement C5
P01106,Myc proto-oncogene protein
P01111,GTPase NRas
P01116,GTPase KRas
P01375,Tumor necrosis factor
P01583,Interleukin-1 alpha
P01584,Interleukin-1 beta
P02144,Myoglobin
P02550,Tubulin alpha-1A chain
P02554,Tubulin beta chain
P02701,Avidin
P02708,Acetylcholine receptor subunit alpha
P02710,Acetylcholine receptor subunit alpha
P02712,Acetylcholine receptor subunit beta
P02714,Acetylcholine receptor subunit gamma
P02718,Acetylcholine receptor subunit delta
P02766,Transthyretin
P02768,Serum albumin
P02786,Transferrin receptor protein 1
P03070,Large T antigen
P03118,Regulatory protein E2
P03211,Epstein-Barr nuclear antigen 1
P03372,Estrogen receptor
P03469,Neuraminidase
P03470,Neuraminidase
P03522,Glycoprotein
P03887,NADH-ubiquinone oxidoreductase chain 1
P03905,NADH-ubiquinone oxidoreductase chain 4
P03951,Coagulation factor XI
P03952,Plasma kallikrein
P03956,Interstitial collagenase
P04015,Regulatory protein E2
P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase
P04049,RAF proto-oncogene serine/threonine-protein kinase
P04054,Phospholipase A2
P04058,Acetylcholinesterase
P04062,Lysosomal acid glucosylceramidase
P04070,Vitamin K-dependent protein C
P04141,Granulocyte-macrophage colony-stimulating factor
P04150,Glucocorticoid receptor
P04156,Major prion protein
P04174,Dihydrofolate reductase
P04183,"Thymidine kinase, cytosolic"
P04278,Sex hormone-binding globulin
P04326,Protein Tat
P04350,Tubulin beta-4A chain
P04406,Glyceraldehyde-3-phosphate dehydrogenase
P04439,"HLA class I histocompatibility antigen, A alpha chain"
P04585,Gag-Pol polyprotein
P04618,Protein Rev
P04626,Receptor tyrosine-protein kinase erbB-2
P04629,High affinity nerve growth factor receptor
P04632,Calpain small subunit 1
P04637,Cellular tumor antigen p53
P04757,Neuronal acetylcholine receptor subunit alpha-3
P04798,Cytochrome P450 1A1
P04818,Thymidylate synthase
P04839,Cytochrome b-245 heavy chain
P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2
P05023,Sodium/potassium-transporting ATPase subunit alpha-1
P05026,Sodium/potassium-transporting ATPase subunit beta-1
P05067,Amyloid-beta precursor protein
P05091,"Aldehyde dehydrogenase, mitochondrial"
P05093,"Steroid 17-alpha-hydroxylase/17,20 lyase"
P05106,Integrin beta-3
P05107,Integrin beta-2
P05108,"Cholesterol side-chain cleavage enzyme, mitochondrial"
P05120,Plasminogen activator inhibitor 2
P05121,Plasminogen activator inhibitor 1
P05129,Protein kinase C gamma type
P05141,ADP/ATP translocase 2
P05164,Myeloperoxidase
P05165,"Propionyl-CoA carboxylase alpha chain, mitochondrial"
P05166,"Propionyl-CoA carboxylase beta chain, mitochondrial"
P05177,Cytochrome P450 1A2
P05181,Cytochrome P450 2E1
P05186,"Alkaline phosphatase, tissue-nonspecific isozyme"
P05187,"Alkaline phosphatase, placental type"
P05227,Histidine-rich protein PFHRP-II
P05230,Fibroblast growth factor 1
P05231,Interleukin-6
P05362,Intercellular adhesion molecule 1
P05364,Beta-lactamase
P05413,"Fatty acid-binding protein, heart"
P05659,"Myosin-2 heavy chain, non muscle"
P05696,Protein kinase C alpha type
P05771,Protein kinase C beta type
P05778,Matrix protein 2
P05866,Protein Rev
P05888,Gag polyprotein
P05981,Serine protease hepsin
P06213,Insulin receptor
P06239,Tyrosine-protein kinase Lck
P06241,Tyrosine-protein kinase Fyn
P06276,Cholinesterase
P06401,Progesterone receptor
P06402,Photosystem II protein D1
P06493,Cyclin-dependent kinase 1
P06537,Glucocorticoid receptor
P06582,Heat shock protein Hsp-16.2
P06737,"Glycogen phosphorylase, liver form"
P06746,DNA polymerase beta
P06756,Integrin alpha-V
P06856,DNA polymerase
P06865,Beta-hexosaminidase subunit alpha
P06935,Genome polyprotein
P07099,Epoxide hydrolase 1
P07101,Tyrosine 3-monooxygenase
P07148,"Fatty acid-binding protein, liver"
P07195,L-lactate dehydrogenase B chain
P07202,Thyroid peroxidase
P07203,Glutathione peroxidase 1
P07237,Protein disulfide-isomerase
P07265,Alpha-glucosidase MAL62
P07305,Histone H1.0
P07327,Alcohol dehydrogenase 1A
P07332,Tyrosine-protein kinase Fes/Fps
P07333,Macrophage colony-stimulating factor 1 receptor
P07339,Cathepsin D
P07355,Annexin A2
P07374,Urease
P07384,Calpain-1 catalytic subunit
P07437,Tubulin beta chain
P07445,Steroid Delta-isomerase
P07451,Carbonic anhydrase 3
P07477,Trypsin-1
P07478,Trypsin-2
P07510,Acetylcholine receptor subunit gamma
P07550,Beta-2 adrenergic receptor
P07686,Beta-hexosaminidase subunit beta
P07711,Cathepsin L1
P07741,Adenine phosphoribosyltransferase
P07814,Bifunctional glutamate/proline--tRNA ligase
P07846,Sorbitol dehydrogenase
P07858,Cathepsin B
P07900,Heat shock protein HSP 90-alpha
P07947,Tyrosine-protein kinase Yes
P07948,Tyrosine-protein kinase Lyn
P07949,Proto-oncogene tyrosine-protein kinase receptor Ret
P08069,Insulin-like growth factor 1 receptor
P08138,Tumor necrosis factor receptor superfamily member 16
P08151,Zinc finger protein GLI1
P08172,Muscarinic acetylcholine receptor M2
P08173,Muscarinic acetylcholine receptor M4
P08183,ATP-dependent translocase ABCB1
P08185,Corticosteroid-binding globulin
P08235,Mineralocorticoid receptor
P08236,Beta-glucuronidase
P08238,Heat shock protein HSP 90-beta
P08240,Signal recognition particle receptor subunit alpha
P08246,Neutrophil elastase
P08253,72 kDa type IV collagenase
P08254,Stromelysin-1
P08263,Glutathione S-transferase A1
P08311,Cathepsin G
P08473,Neprilysin
P08514,Integrin alpha-IIb
P08574,"Cytochrome c1, heme protein, mitochondrial"
P08575,Receptor-type tyrosine-protein phosphatase C
P08581,Hepatocyte growth factor receptor
P08588,Beta-1 adrenergic receptor
P08631,Tyrosine-protein kinase HCK
P08648,Integrin alpha-5
P08659,Luciferin 4-monooxygenase
P08684,Cytochrome P450 3A4
P08709,Coagulation factor VII
P08842,Steryl-sulfatase
P08908,5-hydroxytryptamine receptor 1A
P08912,Muscarinic acetylcholine receptor M5
P08913,Alpha-2A adrenergic receptor
P08922,Proto-oncogene tyrosine-protein kinase ROS
P09038,Fibroblast growth factor 2
P09172,Dopamine beta-hydroxylase
P09211,Glutathione S-transferase P
P09429,High mobility group protein B1
P09467,"Fructose-1,6-bisphosphatase 1"
P09619,Platelet-derived growth factor receptor beta
P09622,"Dihydrolipoyl dehydrogenase, mitochondrial"
P09626,Potassium-transporting ATPase alpha chain 1
P09668,Pro-cathepsin H
P09769,Tyrosine-protein kinase Fgr
P09812,"Glycogen phosphorylase, muscle form"
P09874,Poly [ADP-ribose] polymerase 1
P09884,DNA polymerase alpha catalytic subunit
P09917,Arachidonate 5-lipoxygenase
P09923,Intestinal-type alkaline phosphatase
P09960,Leukotriene A-4 hydrolase
P0A017,Dihydrofolate reductase
P0A0I7,Accessory gene regulator protein A
P0A0J7,Quinolone resistance protein NorA
P0A0K8,DNA gyrase subunit B
P0C1S7,DNA topoisomerase 4 subunit B
P0C1S8,Wee1-like protein kinase 2
P0C1U9,DNA topoisomerase 4 subunit A
P0C264,Uncharacterized serine/threonine-protein kinase SBK3
P0C6U8,Replicase polyprotein 1a
P0C6X1,Replicase polyprotein 1ab
P0C6X7,Replicase polyprotein 1ab
P0C7B7,Cys-loop ligand-gated ion channel
P0CS83,Candidapepsin-2
P0CY54,2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase
P0DJD9,Pepsin A-5
P0DMS8,Adenosine receptor A3
P0DMS9,Transmembrane domain-containing protein TMIGD3
P0DMV8,Heat shock 70 kDa protein 1A
P0DMV9,Heat shock 70 kDa protein 1B
P0DOF8,Matrix protein 2
P0DP23,Calmodulin-1
P0DPD8,EEF1AKMT4-ECE2 readthrough transcript protein
P0DPH7,Tubulin alpha-3C chain
P0DPI0,Botulinum neurotoxin type A
P0DTD1,Replicase polyprotein 1ab
P0DTE7,Alpha-amylase 1B
P0DTE8,Alpha-amylase 1C
P0DUB6,Alpha-amylase 1A
P10145,Interleukin-8
P10147,C-C motif chemokine 3
P10253,Lysosomal alpha-glucosidase
P10274,Gag-Pro polyprotein
P10275,Androgen receptor
P10276,Retinoic acid receptor alpha
P10398,Serine/threonine-protein kinase A-Raf
P10415,Apoptosis regulator Bcl-2
P10481,Sialidase
P10569,Myosin IC heavy chain
P10584,Malate dehydrogenase
P10586,Receptor-type tyrosine-protein phosphatase F
P10608,Beta-2 adrenergic receptor
P10619,Lysosomal protective protein
P10620,Microsomal glutathione S-transferase 1
P10632,Cytochrome P450 2C8
P10635,Cytochrome P450 2D6
P10636,Microtubule-associated protein tau
P10696,"Alkaline phosphatase, germ cell type"
P10721,Mast/stem cell growth factor receptor Kit
P10809,"60 kDa heat shock protein, mitochondrial"
P10826,Retinoic acid receptor beta
P10827,Thyroid hormone receptor alpha
P10828,Thyroid hormone receptor beta
P10938,Phenylethanolamine N-methyltransferase
P11021,Endoplasmic reticulum chaperone BiP
P11103,Poly [ADP-ribose] polymerase 1
P11142,Heat shock cognate 71 kDa protein
P11150,Hepatic triacylglycerol lipase
P11166,"Solute carrier family 2, facilitated glucose transporter member 1"
P11168,"Solute carrier family 2, facilitated glucose transporter member 2"
P11172,Uridine 5'-monophosphate synthase
P11216,"Glycogen phosphorylase, brain form"
P11217,"Glycogen phosphorylase, muscle form"
P11229,Muscarinic acetylcholine receptor M1
P11230,Acetylcholine receptor subunit beta
P11274,Breakpoint cluster region protein
P11308,Transcriptional regulator ERG
P11309,Serine/threonine-protein kinase pim-1
P11362,Fibroblast growth factor receptor 1
P11387,DNA topoisomerase 1
P11388,DNA topoisomerase 2-alpha
P11413,Glucose-6-phosphate 1-dehydrogenase
P11473,Vitamin D3 receptor
P11474,Steroid hormone receptor ERR1
P11509,Cytochrome P450 2A6
P11511,Aromatase
P11597,Cholesteryl ester transfer protein
P11712,Cytochrome P450 2C9
P11766,Alcohol dehydrogenase class-3
P11799,"Myosin light chain kinase, smooth muscle"
P11802,Cyclin-dependent kinase 4
P11926,Ornithine decarboxylase
P11940,Polyadenylate-binding protein 1
P12004,Proliferating cell nuclear antigen
P12104,"Fatty acid-binding protein, intestinal"
P12236,ADP/ATP translocase 3
P12259,Coagulation factor V
P12268,Inosine-5'-monophosphate dehydrogenase 2
P12276,Fatty acid synthase
P12644,Bone morphogenetic protein 4
P12746,Transcriptional activator protein LuxR
P12821,Angiotensin-converting enzyme
P12823,Genome polyprotein
P12931,Proto-oncogene tyrosine-protein kinase Src
P13236,C-C motif chemokine 4
P13500,C-C motif chemokine 2
P13569,Cystic fibrosis transmembrane conductance regulator
P13584,Cytochrome P450 4B1
P13631,Retinoic acid receptor gamma
P13637,Sodium/potassium-transporting ATPase subunit alpha-3
P13726,Tissue factor
P13861,cAMP-dependent protein kinase type II-alpha regulatory subunit
P13866,Sodium/glucose cotransporter 1
P13922,Bifunctional dihydrofolate reductase-thymidylate synthase
P13945,Beta-3 adrenergic receptor
P13955,Dihydrofolate reductase type 1 from Tn4003
P14060,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1
P14061,Estradiol 17-beta-dehydrogenase 1
P14091,Cathepsin E
P14174,Macrophage migration inhibitory factor
P14207,Folate receptor beta
P14410,"Sucrase-isomaltase, intestinal"
P14415,Sodium/potassium-transporting ATPase subunit beta-2
P14416,D(2) dopamine receptor
P14550,Aldo-keto reductase family 1 member A1
P14555,"Phospholipase A2, membrane associated"
P14598,Neutrophil cytosol factor 1
P14607,DNA damage-inducible transcript 3 protein
P14616,Insulin receptor-related protein
P14625,Endoplasmin
P14635,G2/mitotic-specific cyclin-B1
P14644,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C"
P14679,Tyrosinase
P14735,Insulin-degrading enzyme
P14780,Matrix metalloproteinase-9
P14867,Gamma-aminobutyric acid receptor subunit alpha-1
P14902,"Indoleamine 2,3-dioxygenase 1"
P14920,D-amino-acid oxidase
P14927,Cytochrome b-c1 complex subunit 7
P15056,Serine/threonine-protein kinase B-raf
P15090,"Fatty acid-binding protein, adipocyte"
P15121,Aldo-keto reductase family 1 member B1
P15127,Insulin receptor
P15144,Aminopeptidase N
P15206,G2/mitotic-specific cyclin-B
P15328,Folate receptor alpha
P15382,Potassium voltage-gated channel subfamily E member 1
P15393,"Cytochrome P450 11B1, mitochondrial"
P15428,15-hydroxyprostaglandin dehydrogenase [NAD(+)]
P15538,"Cytochrome P450 11B1, mitochondrial"
P15559,NAD(P)H dehydrogenase [quinone] 1
P15735,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform"
P15823,Alpha-1B adrenergic receptor
P16050,Arachidonate 15-lipoxygenase
P16083,Ribosyldihydronicotinamide dehydrogenase [quinone]
P16152,Carbonyl reductase [NADPH] 1
P16184,Dihydrofolate reductase
P16234,Platelet-derived growth factor receptor alpha
P16389,Potassium voltage-gated channel subfamily A member 2
P16499,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha"
P16581,E-selectin
P16591,Tyrosine-protein kinase Fer
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
P16662,UDP-glucuronosyltransferase 2B7
P16924,Prolyl 4-hydroxylase subunit alpha-1
P17252,Protein kinase C alpha type
P17405,Sphingomyelin phosphodiesterase
P17516,Aldo-keto reductase family 1 member C4
P17538,Chymotrypsinogen B
P17612,cAMP-dependent protein kinase catalytic subunit alpha
P17658,Potassium voltage-gated channel subfamily A member 6
P17706,Tyrosine-protein phosphatase non-receptor type 2
P17787,Neuronal acetylcholine receptor subunit beta-2
P17861,X-box-binding protein 1
P17948,Vascular endothelial growth factor receptor 1
P18031,Tyrosine-protein phosphatase non-receptor type 1
P18054,Polyunsaturated fatty acid lipoxygenase ALOX12
P18074,General transcription and DNA repair factor IIH helicase subunit XPD
P18089,Alpha-2B adrenergic receptor
P18113,Thyroid hormone receptor beta
P18177,Toxin B
P18405,3-oxo-5-alpha-steroid 4-dehydrogenase 1
P18433,Receptor-type tyrosine-protein phosphatase alpha
P18505,Gamma-aminobutyric acid receptor subunit beta-1
P18507,Gamma-aminobutyric acid receptor subunit gamma-2
P18545,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"
P18825,Alpha-2C adrenergic receptor
P18841,Alpha-1B adrenergic receptor
P18901,D(1A) dopamine receptor
P19099,"Cytochrome P450 11B2, mitochondrial"
P19111,Intestinal-type alkaline phosphatase
P19174,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"
P19224,UDP-glucuronosyltransferase 1-6
P19320,Vascular cell adhesion protein 1
P19367,Hexokinase-1
P19429,"Troponin I, cardiac muscle"
P19525,"Interferon-induced, double-stranded RNA-activated protein kinase"
P19602,Leukotriene A-4 hydrolase
P19634,Sodium/hydrogen exchanger 1
P19784,Casein kinase II subunit alpha'
P19793,Retinoic acid receptor RXR-alpha
P19838,Nuclear factor NF-kappa-B p105 subunit
P20248,Cyclin-A2
P20292,Arachidonate 5-lipoxygenase-activating protein
P20309,Muscarinic acetylcholine receptor M3
P20340,Ras-related protein Rab-6A
P20420,Neuronal acetylcholine receptor subunit alpha-5
P20618,Proteasome subunit beta type-1
P20648,Potassium-transporting ATPase alpha chain 1
P20701,Integrin alpha-L
P20711,Aromatic-L-amino-acid decarboxylase
P20794,Serine/threonine-protein kinase MAK
P20813,Cytochrome P450 2B6
P20815,Cytochrome P450 3A5
P20831,DNA gyrase subunit A
P20839,Inosine-5'-monophosphate dehydrogenase 1
P20852,Cytochrome P450 2A5
P20853,Cytochrome P450 2A7
P21127,Cyclin-dependent kinase 11B
P21281,"V-type proton ATPase subunit B, brain isoform"
P21333,Filamin-A
P21396,Amine oxidase [flavin-containing] A
P21397,Amine oxidase [flavin-containing] A
P21439,Phosphatidylcholine translocator ABCB4
P21452,Substance-K receptor
P21453,Sphingosine 1-phosphate receptor 1
P21462,fMet-Leu-Phe receptor
P21554,Cannabinoid receptor 1
P21555,Neuropeptide Y receptor type 1
P21556,Platelet-activating factor receptor
P21588,5'-nucleotidase
P21589,5'-nucleotidase
P21709,Ephrin type-A receptor 1
P21728,D(1A) dopamine receptor
P21731,Thromboxane A2 receptor
P21802,Fibroblast growth factor receptor 2
P21860,Receptor tyrosine-protein kinase erbB-3
P21917,D(4) dopamine receptor
P21918,D(1B) dopamine receptor
P21964,Catechol O-methyltransferase
P21980,Protein-glutamine gamma-glutamyltransferase 2
P22001,Potassium voltage-gated channel subfamily A member 3
P22079,Lactoperoxidase
P22102,Trifunctional purine biosynthetic protein adenosine-3
P22234,Multifunctional protein ADE2
P22273,Interleukin-6 receptor subunit alpha
P22303,Acetylcholinesterase
P22309,UDP-glucuronosyltransferase 1-1
P22310,UDP-glucuronosyltransferase 1-4
P22392,Nucleoside diphosphate kinase B
P22413,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
P22443,Aromatase
P22455,Fibroblast growth factor receptor 4
P22459,Potassium voltage-gated channel subfamily A member 4
P22460,Potassium voltage-gated channel subfamily A member 5
P22513,"Glyceraldehyde-3-phosphate dehydrogenase, glycosomal"
P22607,Fibroblast growth factor receptor 3
P22612,cAMP-dependent protein kinase catalytic subunit gamma
P22629,Streptavidin
P22680,Cytochrome P450 7A1
P22687,Cholesteryl ester transfer protein
P22694,cAMP-dependent protein kinase catalytic subunit beta
P22736,Nuclear receptor subfamily 4 group A member 1
P22748,Carbonic anhydrase 4
P22760,Arylacetamide deacetylase
P22830,"Ferrochelatase, mitochondrial"
P22888,Lutropin-choriogonadotropic hormone receptor
P22894,Neutrophil collagenase
P22906,Dihydrofolate reductase
P23141,Liver carboxylesterase 1
P23219,Prostaglandin G/H synthase 1
P23280,Carbonic anhydrase 6
P23415,Glycine receptor subunit alpha-1
P23416,Glycine receptor subunit alpha-2
P23443,Ribosomal protein S6 kinase beta-1
P23458,Tyrosine-protein kinase JAK1
P23467,Receptor-type tyrosine-protein phosphatase beta
P23469,Receptor-type tyrosine-protein phosphatase epsilon
P23576,Gamma-aminobutyric acid receptor subunit alpha-2
P23743,Diacylglycerol kinase alpha
P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial"
P23819,Glutamate receptor 2
P23921,Ribonucleoside-diphosphate reductase large subunit
P23946,Chymase
P23975,Sodium-dependent noradrenaline transporter
P24046,Gamma-aminobutyric acid receptor subunit rho-1
P24385,G1/S-specific cyclin-D1
P24387,Corticotropin-releasing factor-binding protein
P24462,Cytochrome P450 3A7
P24468,COUP transcription factor 2
P24530,Endothelin receptor type B
P24557,Thromboxane-A synthase
P24666,Low molecular weight phosphotyrosine protein phosphatase
P24723,Protein kinase C eta type
P24822,Intestinal-type alkaline phosphatase
P24863,Cyclin-C
P24864,G1/S-specific cyclin-E1
P24903,Cytochrome P450 2F1
P24941,Cyclin-dependent kinase 2
P25021,Histamine H2 receptor
P25024,C-X-C chemokine receptor type 1
P25025,C-X-C chemokine receptor type 2
P25098,Beta-adrenergic receptor kinase 1
P25100,Alpha-1D adrenergic receptor
P25101,Endothelin-1 receptor
P25103,Substance-P receptor
P25105,Platelet-activating factor receptor
P25116,Proteinase-activated receptor 1
P25440,Bromodomain-containing protein 2
P25774,Cathepsin S
P25779,Cruzipain
P25786,Proteasome subunit alpha type-1
P25787,Proteasome subunit alpha type-2
P25788,Proteasome subunit alpha type-3
P25789,Proteasome subunit alpha type-4
P25929,Neuropeptide Y receptor type 1
P26196,Probable ATP-dependent RNA helicase DDX6
P26358,DNA (cytosine-5)-methyltransferase 1
P26447,Protein S100-A4
P26663,Genome polyprotein
P26770,Adenylate cyclase type 4
P27037,Activin receptor type-2A
P27169,Serum paraoxonase/arylesterase 1
P27189,DNA primase TraC
P27338,Amine oxidase [flavin-containing] B
P27361,Mitogen-activated protein kinase 3
P27448,MAP/microtubule affinity-regulating kinase 3
P27487,Dipeptidyl peptidase 4
P27695,DNA-(apurinic or apyrimidinic site) lyase
P27707,Deoxycytidine kinase
P27791,cAMP-dependent protein kinase catalytic subunit alpha
P27815,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
P27922,Sodium-dependent dopamine transporter
P27958,Genome polyprotein
P27986,Phosphatidylinositol 3-kinase regulatory subunit alpha
P28062,Proteasome subunit beta type-8
P28065,Proteasome subunit beta type-9
P28066,Proteasome subunit alpha type-5
P28070,Proteasome subunit beta type-4
P28072,Proteasome subunit beta type-6
P28074,Proteasome subunit beta type-5
P28221,5-hydroxytryptamine receptor 1D
P28222,5-hydroxytryptamine receptor 1B
P28223,5-hydroxytryptamine receptor 2A
P28335,5-hydroxytryptamine receptor 2C
P28347,Transcriptional enhancer factor TEF-1
P28472,Gamma-aminobutyric acid receptor subunit beta-3
P28482,Mitogen-activated protein kinase 1
P28523,Casein kinase II subunit alpha
P28562,Dual specificity protein phosphatase 1
P28566,5-hydroxytryptamine receptor 1E
P28593,Trypanothione reductase
P28702,Retinoic acid receptor RXR-beta
P28838,Cytosol aminopeptidase
P28839,Cytosol aminopeptidase
P28845,Corticosteroid 11-beta-dehydrogenase isozyme 1
